epoch,train_loss,val_loss,val_auc,lr,architecture,fold
0,0.6974262737435517,0.6960604786872864,0.6252913752913752,0.001,GCN,0
1,0.6451606723477112,0.6728513240814209,0.6486013986013986,0.001,GCN,0
2,0.6231225993698097,0.6627610325813293,0.6520979020979021,0.001,GCN,0
3,0.5970386203682314,0.6688056588172913,0.641025641025641,0.001,GCN,0
4,0.5707368411326337,0.6661885380744934,0.6381118881118881,0.001,GCN,0
5,0.548545514888994,0.6639344096183777,0.6287878787878788,0.001,GCN,0
6,0.5184937870394427,0.6542918086051941,0.6451048951048951,0.001,GCN,0
7,0.48443424089437526,0.6572380065917969,0.6357808857808858,0.001,GCN,0
8,0.44514590105621477,0.6631855964660645,0.6258741258741258,0.0005,GCN,0
9,0.41750931505710337,0.6680794954299927,0.6223776223776223,0.0005,GCN,0
10,0.38225945389162735,0.671459972858429,0.622960372960373,0.0005,GCN,0
11,0.36857248847218077,0.6765403747558594,0.6217948717948718,0.0005,GCN,0
12,0.3349100811423852,0.6812188029289246,0.6148018648018648,0.0005,GCN,0
13,0.30921302389162186,0.6890739798545837,0.6206293706293706,0.0005,GCN,0
14,0.29151499145340704,0.7005971074104309,0.6043123543123543,0.00025,GCN,0
15,0.2699707603346545,0.7081480026245117,0.6066433566433566,0.00025,GCN,0
16,0.2563286953102066,0.712583065032959,0.6095571095571096,0.00025,GCN,0
17,0.24639191044061207,0.7170950174331665,0.6083916083916084,0.00025,GCN,0
18,0.24269388872691153,0.7226699590682983,0.6043123543123543,0.00025,GCN,0
19,0.22445874298807358,0.7317394614219666,0.6060606060606061,0.00025,GCN,0
20,0.22287535532363592,0.7306464910507202,0.6083916083916083,0.000125,GCN,0
21,0.21068614811335445,0.7313651442527771,0.6136363636363635,0.000125,GCN,0
22,0.18897655529738192,0.7383347153663635,0.6083916083916084,0.000125,GCN,0
0,0.6933878099217134,0.6783068180084229,0.6358418367346939,0.001,GCN,1
1,0.6461829463763872,0.6711246967315674,0.6339285714285715,0.001,GCN,1
2,0.6206806237483541,0.6699002981185913,0.6256377551020409,0.001,GCN,1
3,0.5938385256303722,0.6689980030059814,0.6230867346938775,0.001,GCN,1
4,0.5713034571139806,0.6716014742851257,0.6243622448979592,0.001,GCN,1
5,0.5449691156484763,0.6741199493408203,0.6198979591836735,0.001,GCN,1
6,0.5251346747203508,0.6754826307296753,0.6186224489795918,0.0005,GCN,1
7,0.4961071309659503,0.6758432984352112,0.6198979591836735,0.0005,GCN,1
8,0.4810500764994429,0.6805380582809448,0.6160714285714286,0.0005,GCN,1
9,0.4680487867848423,0.6856911778450012,0.6116071428571429,0.0005,GCN,1
10,0.4448516658585138,0.6898296475410461,0.6052295918367347,0.0005,GCN,1
11,0.42379094627988595,0.6910867094993591,0.6135204081632653,0.0005,GCN,1
12,0.4017459412477334,0.6948723793029785,0.6128826530612245,0.00025,GCN,1
13,0.39380023335524755,0.7060406804084778,0.6065051020408163,0.00025,GCN,1
14,0.3783703762864919,0.7044793367385864,0.6058673469387755,0.00025,GCN,1
15,0.3702077544510549,0.7033249735832214,0.607780612244898,0.00025,GCN,1
16,0.35191877809102323,0.7039536833763123,0.6065051020408163,0.00025,GCN,1
17,0.3398542494596712,0.7084446549415588,0.6071428571428571,0.00025,GCN,1
18,0.32721249560822646,0.7133905291557312,0.6096938775510204,0.000125,GCN,1
19,0.32494558583103095,0.7121830582618713,0.6096938775510204,0.000125,GCN,1
20,0.3302054805652276,0.7138217687606812,0.6065051020408163,0.000125,GCN,1
0,0.6912933624554477,0.685941755771637,0.6209514170040485,0.001,GCN,2
1,0.6470824948260379,0.6775279641151428,0.6406882591093117,0.001,GCN,2
2,0.6114267695248957,0.6739783883094788,0.6442307692307692,0.001,GCN,2
3,0.5816759922046183,0.6775457859039307,0.6275303643724696,0.001,GCN,2
4,0.5598038473169119,0.6822934150695801,0.6239878542510121,0.001,GCN,2
5,0.5200200791478489,0.6880447268486023,0.6209514170040485,0.001,GCN,2
6,0.4846801009018773,0.6908145546913147,0.6184210526315789,0.001,GCN,2
7,0.4432441427016989,0.7045389413833618,0.5986842105263158,0.001,GCN,2
8,0.39960780772990173,0.7053329348564148,0.6128542510121457,0.0005,GCN,2
9,0.3634461249149609,0.708621621131897,0.6209514170040485,0.0005,GCN,2
10,0.34096526626424867,0.7234895825386047,0.6072874493927126,0.0005,GCN,2
11,0.3069202892461527,0.7371568083763123,0.5956477732793523,0.0005,GCN,2
12,0.28408450950819136,0.745979905128479,0.5910931174089068,0.0005,GCN,2
13,0.2617888966974774,0.7467421889305115,0.6007085020242915,0.0005,GCN,2
14,0.2351337320127195,0.7582955360412598,0.5991902834008096,0.00025,GCN,2
15,0.21666269290746087,0.7695997953414917,0.5941295546558705,0.00025,GCN,2
16,0.21467598857653838,0.7846048474311829,0.5845141700404859,0.00025,GCN,2
17,0.19837223591080616,0.7930737137794495,0.5840080971659919,0.00025,GCN,2
18,0.19540108918811616,0.796459972858429,0.5845141700404859,0.00025,GCN,2
19,0.1717204312096067,0.8027075529098511,0.5870445344129555,0.00025,GCN,2
20,0.18165400707290033,0.8059164881706238,0.5855263157894737,0.000125,GCN,2
21,0.15184579818693708,0.8099411129951477,0.5845141700404858,0.000125,GCN,2
22,0.14945143909507475,0.8120545744895935,0.5895748987854251,0.000125,GCN,2
0,0.7439138974972114,0.6839292049407959,0.6811342592592592,0.001,GCN,3
1,0.6503102522410319,0.67058926820755,0.6510416666666666,0.001,GCN,3
2,0.6251800831206544,0.6694201231002808,0.6296296296296297,0.001,GCN,3
3,0.6024813130944074,0.6700125336647034,0.6417824074074073,0.001,GCN,3
4,0.57539336427957,0.6772816181182861,0.640625,0.001,GCN,3
5,0.5470532799909215,0.6790276169776917,0.6412037037037037,0.001,GCN,3
6,0.5238674804122149,0.6789014339447021,0.6423611111111112,0.0005,GCN,3
7,0.48968667791275206,0.67523592710495,0.6417824074074074,0.0005,GCN,3
8,0.46878437456970445,0.6708981990814209,0.6377314814814815,0.0005,GCN,3
9,0.4478647990854914,0.6744373440742493,0.6319444444444445,0.0005,GCN,3
10,0.4223950012715277,0.6791553497314453,0.6221064814814815,0.0005,GCN,3
11,0.40301247021395287,0.6850141882896423,0.6203703703703703,0.0005,GCN,3
12,0.38112047510946584,0.695323646068573,0.6128472222222222,0.00025,GCN,3
