,count,mean,std,min,25%,50%,75%,max,missing,variance
clustering,31060.0,0.3479924393276131,0.04790092727494923,0.23235182572637067,0.314505140148248,0.3430753273553765,0.37550544226775207,0.7293976767225696,0,0.0022944988337999755
transitivity,31060.0,0.3468131511842644,0.06006093230033723,0.21210427307634122,0.3047756603601127,0.3381848380212551,0.37873617464220716,0.7769524308893355,0,0.003607315588785692
efficiency,31060.0,0.3928863307531655,0.01572063974779103,0.34292753863685943,0.38353056734092195,0.3922546279310737,0.4014965462234541,0.4700031567886547,0,0.0002471385140798272
path_length,31060.0,2.832663025404034,0.10042258869864978,2.5544372851388495,2.788094974060438,2.826224972540474,2.871675799272081,4.910771186124047,0,0.010084696320938183
null_clustering,31060.0,0.33734387159347534,0.04696235433220863,0.2248605489730835,0.30447573214769363,0.33260099589824677,0.36410345137119293,0.7259713411331177,0,0.002205462660640478
null_transitivity,31060.0,0.3470993936061859,0.06178312748670578,0.20816437900066376,0.30367402732372284,0.33826209604740143,0.38041093945503235,0.7774730920791626,0,0.0038171547930687666
null_efficiency,31060.0,0.4001310467720032,0.01558589842170477,0.3501342535018921,0.3911609649658203,0.39933882653713226,0.4079784154891968,0.4775834083557129,0,0.00024292024318128824
null_path_length,31060.0,2.781837224960327,0.10871629416942596,2.456066131591797,2.7298747301101685,2.7763558626174927,2.8310585618019104,4.911019325256348,0,0.011819233186542988
gamma,31060.0,1.0317658945638366,0.004779202484168699,1.0016471311445478,1.0285582056206874,1.0313539215234981,1.0346273421123628,1.0616709019942514,0,2.2840776384684263e-05
lambda,31060.0,1.0184561673450994,0.010256657303698827,0.9782371888990131,1.0122367499127034,1.0197151234185906,1.0257848857767686,1.0519903314287515,0,0.00010519901904551848
sigma,31060.0,1.0131609464860158,0.010254509245585493,0.9756482469983957,1.0059239763006342,1.0119535353086344,1.0193792211879793,1.0622960713711462,0,0.00010515495986779835
